question;A;B;C;D;answer;model_answer;is_correct
14. Kurš no šiem apgalvojumiem ir nepatiess?;20. gs. 90. gados kļuva skaidrs, ka Eiropas Cilvēktiesību tiesa bija jāreformē, jo tā neizskatīja pietiekami daudz lietu.;20. gs. 90. gados kļuva skaidrs, ka Eiropas Cilvēktiesību tiesa bija jāreformē, jo darba slodze bija palielinājusies.;20. gs. 90. gados kļuva skaidrs, ka Eiropas Cilvēktiesību tiesa bija jāreformē, jo tā bija nepilna laika tiesa, kas nevarēja izskatīt pieaugošo sūdzību skaitu.;20. gs. 90. gados kļuva skaidrs, ka Eiropas Cilvēktiesību tiesa bija jāreformē, jo to personu skaita pieaugums, kuras varēja piekļūt Tiesai pēc dalībvalstu skaita palielināšanās.;D;D;TRUE
15. Kāda ir samērīguma nozīme attiecībā uz cietušajai valstij pieejamajām iespējām?;Cietusī valsts var izmantot tādus pašus spēka līdzekļus un intensitāti kā agresors,;Cietusī valsts var izmantot jebkādus līdzekļus, lai sakautu un padarītu rīcībnespējīgu agresoru,;Cietusī valsts var izmantot tikai tādus līdzekļus un spēku, kāds nepieciešams, lai sakautu agresoru,;Cietusī valsts neko nevar darīt bez Drošības padomes apstiprinājuma.;C;C;TRUE
16. Kāda ir jurisdikcijas parastā ģeogrāfiskā darbības joma?;Jurisdikcija parasti ir ekstrateritoriāla,;Jurisdikcija parasti atrodas atklātā jūrā,;Jurisdikcija parasti ir teritoriāla,;Jurisdikciju nosaka likumpārkāpēja atrašanās vieta.;C;C;TRUE
17. Kādi ir starptautisko tiesību oficiālie avoti?;Paražas, līgumi un tiesu lēmumi,;Paražas, vispārējie tiesību principi un teorija,;Līgumi, paražas un vispārējie tiesību principi,;Līgumi, paražas un Ģenerālās asamblejas rezolūcijas.;C;C;TRUE
18. Kāds ir bāzes līniju mērķis saskaņā ar jūras tiesībām?;Bāzes līniju noteikšana tiek izmantota piekrastes valstu iekšējo ūdeņu mērīšanai.;Bāzes līniju noteikšana ir būtiska visu jūras zonu izveidei, jo tās veido katras zonas platuma mērīšanas sākumpunktu.;Bāzes līniju noteikšana ir būtiska kuģu drošai kuģošanai atklātā jūrā.;Bāzes līnijas tiek novilktas tikai gadījumos, kad jūras robežu noteikšana notiek starp pretējām valstīm starptautiskā tiesā vai tribunālā.;B;B;TRUE
19. Kāda ir atšķirība starp samierināšanu un mediāciju?;Samierināšana ir mediācijas turpinājums ar atšķirību, ka samierināšana rada saistošu rezultātu, bet mediācija — ne.;Samierināšanu veic tikai ANO ģenerālsekretāra pārstāvji, savukārt mediāciju var veikt arī trešo valstu amatpersonas.;Mediāciju parasti vada persona, kas iecelta ar pušu piekrišanu, savukārt samierināšanā piedalās komisija, kas veic objektīvu strīda izskatīšanu un piedāvā izlīguma noteikumus.;Samierināšana ir strīdu izšķiršanas metode, ko īsteno tikai saskaņā ar līgumu, savukārt mediācija var notikt arī uz ad hoc pamata.;C;C;TRUE
20. Lietā Osman pret Apvienoto Karalisti (1998) Eiropas Tiesa noteica testu, ko var izmantot, lai piemērotu vispārēju pozitīvu pienākumu valstij. Kurš no tālāk minētajiem apgalvojumiem nav daļa no Osmana testa?;Riskam ir jārodas no valsts pārstāvja,;Ja pastāv reāls un nenovēršams risks (nāves/kaitējuma),;Valstij jāveic saprātīgi pasākumi, lai novērstu nāves/kaitējuma rašanos,;Valsts zina vai tai vajadzēja zināt.;A;A;TRUE
21. Kam ir tiesības pieprasīt Starptautiskās Tiesas konsultatīvu atzinumu?;Tikai ANO galvenās institūcijas var pieprasīt konsultatīvu atzinumu (Drošības padome, Ģenerālā asambleja, Ekonomikas un sociālo lietu padome, Aizbildnības padome, Sekretariāts),;Visas starptautiskās organizācijas var pieprasīt konsultatīvu atzinumu,;Ģenerālā asambleja un Drošības padome var pieprasīt konsultatīvu atzinumu par jebkuru juridisku jautājumu, kā arī citas Apvienoto Nāciju Organizācijas institūcijas un specializētās aģentūras, kuras jebkurā laikā var pilnvarot Ģenerālā asambleja, var arī pieprasīt Tiesas konsultatīvu atzinumu par juridisku jautājumu, kas rodas to darbības jomā,;ANO galvenās institūcijas, kā arī valsts, kuru ir pilnvarojusi Ģenerālā asambleja.;C;C;TRUE
22. Kāds ir universālās jurisdikcijas mērķis?;Tās mērķis ir noteikt noteiktus nodarījumus kā universālus,;Tās mērķis ir atturēt no noteiktu starptautisku noziegumu izdarīšanas,;Tās mērķis ir nodrošināt jurisdikciju visām valstīm attiecībā uz konkrētiem noziegumiem,;Tās mērķis ir nodrošināt jurisdikciju visām valstīm attiecībā uz visiem starptautiskajiem noziegumiem.;C;C;TRUE
23. Vai visas valsts iestāžu darbības saskaņā ar likumu ir attiecināmas uz valsti kā starptautisku atbildību?;Jebkuras valsts iestādes rīcība tiek uzskatīta par šīs valsts rīcību pat tad, ja šī rīcība bija neatļauta vai ultra vires,;Tikai valsts valdības augstāko ešelonu rīcība ir attiecināma uz to,;Jebkuras valsts iestādes rīcība tiek uzskatīta par šīs valsts rīcību, ja tā ir intra vires,;Tikai valsts izpildvaras rīcība tiek uzskatīta par šīs valsts rīcību.;A;A;TRUE
"24. Kas ir ""līgums"" saskaņā ar Vīnes Konvenciju par starptautisko līgumu tiesībām (VCLT)?";Līgumi ir visi nolīgumi, kas noslēgti starp valstīm, starptautiskām organizācijām un nevalstiskām struktūrām (piemēram, korporācijām),;Līgumi ir nolīgumi, kas rakstiski noslēgti starp valstīm un kurus regulē starptautiskie likums,;Līgumi ir gan rakstiskas, gan mutiskas vienošanās starp valstīm,;Līgumi ir rakstiskas vienošanās starp valstīm, kuras regulē vai nu starptautiskās, vai nacionālās tiesības.;B;B;TRUE
25. Vai X valsts ministra ārzemēs izdarīta nelikumīga slepkavība ir jure imperii vai jure gestionis darbība?;Šāda rīcība ir publiska rīcība (jure imperii),;Šāda rīcība nekad neizraisa imunitāti,;Šāda rīcība ir privāta rīcība (jure gestionis),;Šāda rīcība ir publiska rīcība, bet to aizsargā imunitāte.;C;C;TRUE
26. Kāds bija iznākums pirms Eiropas Cilvēktiesību tiesa Al-Adsani lietā?;Tiesa lēma, ka tiesības uz taisnīgu tiesu ir svarīgākas par imunitātes privilēģiju,;Tiesa lēma, ka imunitāte ir svarīgāka par tiesībām uz taisnīgu tiesu,;Tiesa lēma, ka imunitāte nav pretrunā ar tiesībām uz taisnīgu tiesu,;Tiesa lēma, ka cilvēktiesību apsvērumi ir svarīgāki par visiem citiem pretējiem starptautisko tiesību noteikumiem, tostarp lielāko daļu imunitāšu.;C;C;TRUE
27. Kādus citus kritērijus Badintera komisija noteica bijušajām Dienvidslāvijas republikām?;Komisija pieprasīja apņemšanos iesniegt strīdus Starptautiskajā Tiesā,;Komisija pieprasīja robežu maiņu,;Komisija pieprasīja apņemšanos ievērot cilvēktiesības un demokrātiju,;Komisija pieprasīja etnisko iedzīvotāju apmaiņu.;C;C;TRUE
28. Kā jāinterpretē līgumi?;Līgumi jāinterpretē labticīgi saskaņā ar līguma terminu parasto nozīmi to kontekstā un ņemot vērā tā objektu un mērķi,;Līgumi jāinterpretē tikai saskaņā ar to terminu parasto nozīmi,;Līgumi jāinterpretē saskaņā ar pušu nodomu, kā tas redzams Līguma sagatavošanas darbos līgums,;Līgumi jāinterpretē tikai ņemot vērā to objektu un mērķi.;A;A;TRUE
29. Kad piekrastes valstis īsteno savu kriminālo jurisdikciju pār ārvalstu kuģiem savās ostās?;Ostas valstis parasti neīsteno savu kriminālo jurisdikciju noziegumos, kas nepārkāpj to muitas likumus vai netraucē mieru un sabiedrisko kārtību.;Ostas valstis īsteno savu jurisdikciju visos likumpārkāpēju kuģu gadījumos,;Ostas valstis īsteno savu jurisdikciju tikai attiecībā uz ļoti smagiem noziegumiem, piemēram, narkotiku tirdzniecību,;Ostas valstis nav tiesīgas īstenot savu jurisdikciju pār jebkuru ārvalstu kuģi.;A;A;TRUE
"30. Kāda ir ANO Ģenerālās asamblejas rezolūciju vērtība kā starptautisko tiesību ""avotam""?";ĢA rezolūcijas tiek uzskatītas par papildu starptautisko tiesību avotiem un tādējādi ir saistošas ​​valstīm,;ĢA rezolūcijas ir līdzvērtīgas līgumiem,;ĢA rezolūcijas vienmēr atspoguļo paražu tiesības,;ĢA rezolūcijas tiek uzskatītas par būtisku avotu tādā nozīmē, ka tās var formulēt paražu tiesību paziņojumus.;D;D;TRUE
1. Saskaņā ar pudeles etiķeti aspirīna tabletes svars ir 300 miligrami. Pārtikas un zāļu pārvaldes (FDA) pētnieks nosver vienkāršu nejaušu septiņu tablešu paraugu, iegūst svarus 299, 300, 305, 302, 299, 301 un 303 un veic ražotāja apgalvojuma hipotēzes pārbaudi. Kurš no tālāk minētajiem dod šī testa P vērtību?;P(t > 1,54) ar df = 6.2,;P(t > 1,54) ar df = 6;P(t > 1,54) ar df = 7.2;P(t > 1,54) ar df = 7.;B;C;FALSE
2. Jauna amerikāņu kalniņu brauciena gaidīšanas laiks parasti tiek sadalīts ar vidējo vērtību 35 minūtes un standartnovirzi 10 minūtes. Ja pirmajā vasarā ir 150 000 braucēju, kurš no tālāk minētajiem ir īsākais laika intervāls, kas saistīts ar 100 000 braucējiem?;0 līdz 31.7 minūtes,;no 31.7 līdz 39.3 minūtēm,;no 25.3 līdz 44.7 minūtēm,;no 25.3 līdz 35 minūtēm.;C;C;TRUE
3. Visi tālāk minētie apgalvojumi ir patiesi visiem diskrētajiem nejaušajiem mainīgajiem, izņemot kuru vienu?;Visiem iespējamiem rezultātiem jābūt skaitliskiem.;Iespējamiem rezultātiem jābūt savstarpēji izslēdzošiem.;Vidējā vērtība (paredzamā vērtība) vienmēr ir vienāda ar reizinājumu summu, kas iegūta, reizinot katru vērtību ar tās atbilstošo varbūtību.;Aptuveni 95% rezultātu būs divu standartnoviržu robežās no vidējās vērtības.;D;D;TRUE
4. Kurš no tālāk minētajiem apgalvojumiem par hipotēžu pārbaudi ir patiess?;Ja ir pietiekami daudz pierādījumu, lai noraidītu nulles hipotēzi 10% līmenī, tad ir pietiekami daudz pierādījumu, lai to noraidītu 5% līmenī.;Vai izmantot vienpusēju vai divpusēju testu, parasti tiek izlemts pēc datu apkopošanas.;Ja hipotēžu pārbaude tiek veikta 1% līmenī, pastāv 1% iespēja noraidīt nulles hipotēzi.;Testa jauda attiecas uz tā spēju noteikt alternatīvu hipotēze.;D;D;TRUE
5. Anomāls ir novērojums, kas;tiek novērots biežāk nekā citi novērojumi datu kopā,;tiek novērots retāk nekā citi novērojumi datu kopā,;vienmēr ir mazāks nekā citi novērojumi datu kopā,;būtiski atšķiras no citiem novērojumiem datu kopā.;D;D;TRUE
6. Skolas direktore ir ieinteresēta novērtēt vidējos ienākumus uz vienu savu skolēnu ģimeni. Viņa izvēlas nejaušu skolēnu izlasi un apkopo informāciju par viņu ģimenes ienākumiem. No šiem datiem aprēķinātais 95 procentu ticamības intervāls vidējiem ienākumiem uz vienu ģimeni ir (35 095 USD, 45 005 USD). Kurš no tālāk minētajiem sniedz vislabāko šī ticamības intervāla interpretāciju?;95 procenti skolēnu viņas skolā ir no ģimenēm, kuru ienākumi ir no 35 095 līdz 45 005 USD.;Pastāv 95 % varbūtība, ka visu šīs skolas skolēnu ģimeņu ienākumi ir no 35 095 līdz 45 005 USD.;Ja mēs ņemtu vēl vienu tāda paša lieluma izlasi un aprēķinātu 95 procentu ticamības intervālu, mums būtu 95 % iespēja iegūt intervālu (35 095 USD, 45 005 USD).;Pastāv 95 % varbūtība, ka vidējie ienākumi uz vienu ģimeni skolā ir no 35 095 USD līdz 45 005 USD.;D;D;TRUE
7. Pētnieki veic eksperimentu, izmantojot nozīmīguma līmeni 0,05. Nulles hipotēze faktiski ir nepatiesa. Ja viņi modificētu savu eksperimentu, lai katrai apstrādei izmantotu divreiz vairāk eksperimentālo vienību, kurš no tālāk minētajiem būtu patiess?;Gan I tipa kļūdas varbūtība, gan II tipa kļūdas varbūtība samazinātos.;Gan I tipa kļūdas varbūtība, gan jauda palielinātos.;Gan II tipa kļūdas varbūtība, gan jauda palielinātos.;I tipa kļūdas varbūtība paliktu nemainīga, un jauda palielinātos.;D;D;TRUE
"8. Pieaugušu vīriešu vidējais augums ir 70 collas, ar standartnovirzi četras collas. Pieaugušu sieviešu vidējais augums ir 66 collas, ar standartnovirzi trīs collas. Starp vīrieti ar augumu 74 collas un sievieti ar ""70 collu augumu, kurš savā dzimumā ir neparasti garš?";To nevar noteikt, jo abu grupu vidējais augums atšķiras.;To nevar noteikt, jo abu grupu augumu standartnovirzes atšķiras.;Vīrietis, jo viņš ir 74 collas garš, un sieviete ir tikai 70 collas gara.;Sieviete, jo viņas augums ir 1,33 standartnovirzes virs visu sieviešu vidējā auguma, savukārt vīrieša augums ir tikai par vienu standartnovirzi virs visu vīriešu vidējā auguma.;D;D;TRUE
9. Kurš no tālāk minētajiem apgalvojumiem nav patiess par t-sadalījumiem?;Dažādām df (brīvības pakāpju) vērtībām ir dažādi t-sadalījumi.;t-sadalījumi ir zvanveida un simetriski.;t-sadalījumiem vienmēr ir vidējais rādītājs 0 un standartnovirze 1.;t-sadalījumi ir izkliedētāki nekā normālais sadalījums.;C;C;TRUE
10. Lai pētītu alkohola ietekmi uz reakcijas laiku, subjekti tika nejauši izvēlēti un viņiem tika doti trīs alus pudeles. Viņu reakcijas laiks uz vienkāršu stimulu tika mērīts pirms un pēc alkohola lietošanas. Kurš no tālāk minētajiem apgalvojumiem ir pareizs?;Šis pētījums bija novērošanas pētījums.;Bloķēšanas trūkums padara to par slikti izstrādātu pētījumu.;Placebo efekts šāda veida pētījumā nav būtisks.;Šis pētījums bija eksperiments, kurā subjekti tika izmantoti kā sava kontrole.;D;D;TRUE
11. Kurš no šiem apgalvojumiem pareizi izskaidro neobjektivitāti?;Tas apraksta procesu, kas rada vidēji pārāk augstas vai vidēji pārāk zemas aplēses.;Tas apraksta procesu, kura rezultātā izlase nereprezentē populāciju.;Tas apraksta nejaušināšanas trūkumu izlases veidošanas procesā.;Tas apraksta izlasi, kas nav reprezentatīva populācijai.;A;A;TRUE
12. Uzņēmums, kas ražo sejas salvetes, nepārtraukti uzrauga audu izturību. Ja vidējais izturības rādītājs no parauga datiem nokrītas zem noteikta līmeņa, ražošanas process tiek apturēts un iekārtas tiek pārbaudītas. Kura no tālāk minētajām sekām varētu rasties I tipa kļūdas dēļ?;Ražošanas procesa apturēšana, kad saņemts pietiekams klientu sūdzību skaits.;Ražošanas procesa apturēšana, kad audu izturība ir zem specifikācijām.;Ražošanas procesa apturēšana, kad audu izturība atbilst specifikācijām.;Ražošanas procesa turpināšana, ja audu izturība ir zem specifikācijām.;C;C;TRUE
13. Noteiktā apvidū dzīvojošo cilvēku dzīves ilgums ir 14 gadu standarta novirze. Kāds ir vidējais dzīves ilgums, ja 30% cilvēku dzīvo ilgāk par 75 gadiem? Pieņemsim normālu dzīves ilguma sadalījumu.;5 – 0.30(14),;75 + 0.30(14),;75 – 0.4756(14),;75 – 0.5244(14).;D;D;TRUE
14. Pārejot no 90% ticamības intervāla novērtējuma populācijas proporcijai uz 99% ticamības intervāla novērtējumu, ja visi pārējie apstākļi ir vienādi –;"palielina intervāla lielumu par 9%;";"samazina intervāla lielumu par 9%;";"palielina intervāla lielumu par 57%;";samazina intervāla lielumu par 57%.;C;C;TRUE
15. Kurš no tālāk minētajiem ir binomiāls nejaušais mainīgais?;"Metienu skaits pirms ""5"" parādās, metot godīgu kauliņu.";Punktu skaits, ko hokeja komanda saņem 10 spēlēs, kur divi punkti tiek piešķirti par uzvarām, viens punkts par neizšķirtiem un neviens punkts par zaudējumiem.;Sirdu skaits no piecām kārtīm, kas nejauši izvilktas no 52 kāršu kavas, bez aizstāšanas.;Autovadītāju skaits nelietojot drošības jostas nejaušā piecu autovadītāju izlasē.;D;D;TRUE
16. Ja visi pārējie mainīgie paliek nemainīgi, kurš no tālāk minētajiem palielinās hipotēzes pārbaudes jaudu?;tikai I,;tikai II,;tikai III,;I un II.;D;D;TRUE
17. Kurš no tālāk minētajiem apgalvojumiem ir patiess (ir)?;tikai I,;tikai I un III,;tikai I un II,;tikai III.;B;B;TRUE
18. Pieņemsim, ka diviem notikumiem, E un F, ir attiecīgi nulles neatbilstošas ​​varbūtības p un q. Kurš no tālāk minētajiem ir neiespējams?;p + q > 1,;p - q < 0,;p /q > 1,;E un F ir neatkarīgi un savstarpēji izslēdzoši.;D;D;TRUE
"19. Varbūtība, ka katru dienu uz 48. šosejas notiks negadījums, ir atkarīga no laikapstākļiem. Ja tajā dienā ir sauss laiks, negadījuma iespējamība uz 48. šosejas ir 0,2 %; ja tajā dienā ir mitrs laiks, negadījuma iespējamība ir 1,0 %. Šodien meteoroloģiskā stacija paziņoja, ka pastāv 20 % varbūtība, ka laiks būs mitrs. Kāda ir varbūtība, ka šodien uz 48. šosejas notiks negadījums?";0.0004,;0.0016,;0.002,;0.0036.;D;D;TRUE
20. Binomiālais sadalījums ir piemērots modelis kuram no tālāk minētajiem?;Minūšu skaits stundā, kurā Dow-Jones vidējais rādītājs ir virs tā sākuma vidējā rādītāja dienā.;Pilsētu skaits starp 10 lielākajām Ņujorkas štata pilsētām, kurās lielāko daļu dienas ir mākoņains laiks.;Vadītāju skaits, kas piesprādzējas ar drošības jostām, ja 10 vadītāji pēc kārtas tiek apturēti pie policijas ceļa bloķēšanas.;Neviens no iepriekš minētajiem.;D;D;TRUE
"21. Dati tika apkopoti par diviem mainīgajiem X"" un Y, un datiem tika pieskaņota mazāko kvadrātu regresijas līnija. Šo datu aprēķinātais vienādojums ir y = –2,29 + 1,70x. Vienam punktam x = 5, y = 6. Kāds ir atlikums šim punktam?";7.91,;6.21,;0.21,;–0.21.;D;D;TRUE
22. Kurš no šiem izskaidro, kāpēc vidējo vērtību secinājumu procedūrām z vietā jāizmanto t?;Centrālā robežteorēma attiecas uz proporcijām, bet ne uz vidējām vērtībām.;Proporcijām mēs izmantojam z, jo proporcijas ir aptuveni normālas. Vidējie rādītāji nav.;Mēs izmantojam z proporcijām, jo ​​izlases proporciju izlases sadalījums ir aptuveni normāls, bet tas neattiecas uz izlases vidējo rādītāju izlases sadalījumu.;Izmantojot izlases standartnovirzi, lai novērtētu populācijas standartnovirzi, statistikas izlases sadalījumā tiek ieviesta lielāka mainība.;D;D;TRUE
23. Kurš no tālāk minētajiem vismazāk samazina neobjektivitāti izlases aptaujā?;Sazinoties ar tiem, kuri neatbildēja uz aptauju pirmo reizi,;Jautājumu uzdošana neitrālā veidā, lai neietekmētu atbildes,;Stratificētas nejaušas izlases izmantošana vienkāršas nejaušas izlases vietā,;Izlases atlasīšana nejauši.;C;C;TRUE
24. Savā pirmajā eksāmenā AP statistikas klases studenti mācījās vidēji 4 stundas ar standartnovirzi 1 stunda. Gandrīz visi eksāmenā uzrādīja sliktus rezultātus, tāpēc otrajā eksāmenā katrs students mācījās 10 stundas. Kāda ir korelācija starp stundu skaitu, ko studenti mācījās katrā eksāmenā?;"-1;";"0;";"0.4;";1.;B;B;TRUE
25. Māju novērtētās vērtības pilsētā ir vidēji 125 000 USD ar standartnovirzi 23 000 USD. Jauna skolotāju līguma dēļ skolu rajonam ir nepieciešami papildu 10 % līdzekļi salīdzinājumā ar iepriekšējo gadu. Lai piesaistītu šo papildu naudu, pilsēta uzdod novērtēšanas birojam paaugstināt visu novērtēto māju vērtības par 5000 USD. Kāda būs jaunā novērtēto māju vērtību standartnovirze pilsētā?;23 000 USD;25 300 USD;28 000 USD;30 300 USD;A;A;TRUE
26. Lielam uzņēmumam ir biroji divās vietās: viena Ņūdžersijā un viena Jūtā. Biroja asistentu vidējā alga Ņūdžersijas birojā ir 28 500 USD. Biroja asistentu vidējā alga Jūtas birojā ir 22 500 USD. Ņūdžersijas birojā ir 128 biroja asistenti, bet Jūtas birojā ir 32 biroja asistenti. Kāda ir vidējā alga, ko maksā biroja asistentiem šajā uzņēmumā?;22 500 USD;23 700 USD;25 500 USD;27 300 USD;D;D;TRUE
27. Kurš no tālāk minētajiem apgalvojumiem par vienkāršām nejaušām izlasēm ir aplams?;Izlasei ir jābūt pietiekami lielai, lai to varētu pareizi uzskatīt par vienkāršu nejaušu izlasi.;Izlases pārbaude nesniegs nekādu norādi par to, vai tā ir vienkārša nejauša izlase.;Vienkāršas nejaušas izlases atribūti var ļoti atšķirties no populācijas atribūtiem.;Katram populācijas elementam ir vienāda iespēja tikt izvēlētam.;A;A;TRUE
28. Telefona operators dod norādījumus darbiniekam sazināties ar 104 klientiem, izmantojot viņu pakalpojumus, lai uzzinātu viņu viedokli par ideju par jaunu cenu paketi. Darbinieks atzīmē klientu skaitu, kuru vārdi sākas ar A, un izmanto nejaušo skaitļu tabulu, lai izvēlētos četrus no šiem vārdiem. Pēc tam viņa turpina izmantot to pašu procedūru katram alfabēta burtam un apvieno 4 × 26 = 104 rezultātus grupā, ar kuru sazināties. Kurš no tālāk minētajiem secinājumiem ir pareizs?;Viņas procedūra izmanto nejaušību.;Viņas procedūras rezultātā tiek iegūta vienkārša nejauša izlase.;Katram klientam ir vienāda varbūtība tikt iekļautam aptaujā.;Viņas procedūra ievieš neobjektivitāti izlases kļūdas dēļ.;A;A;TRUE
29. Uzņēmumam ir izvēle starp trim investīciju shēmām. I variants nodrošina drošu 25 000 USD atdevi no ieguldījumiem. II variants nodrošina 50 % iespējamību atgriezt 50 000 USD un 50 % iespējamību atgriezt 10 000 USD. III variants nodrošina 5 % iespējamību atgriezt 100 000 USD un 95 % iespējamību neatgriezt neko. Kuru variantu uzņēmumam vajadzētu izvēlēties?;II variants, ja tas vēlas maksimāli palielināt paredzamo atdevi,;I variants, ja tam nepieciešami vismaz 20 000 USD, lai atmaksātu nokavētu aizdevumu,;III variants, ja tam nepieciešami vismaz 80 000 USD, lai atmaksātu nokavētu aizdevumu,;Visas iepriekš minētās atbildes ir pareizas.;D;D;TRUE
30. Vienpusēja hipotēzes pārbaude par populācijas vidējo vērtību, pamatojoties uz14 vienību lielais paraugs dod P vērtību 0,075. Kurš no tālāk minētajiem vislabāk raksturo t vērtību diapazonu, kas būtu devis šo P vērtību?;1.345 < t< 1.761,;1.356 < t< 1.782,;1.771 < t< 2.160,;1.350 < t< 1.771.;D;A;FALSE
1. Pirmais jautājums attiecas uz sekojošo informāciju: Nav steidzamāka uzdevuma par miera saglabāšanu. Bez miera mūsu neatkarībai nav lielas nozīmes. Mūsu valstu atjaunošanai un atjaunošanai būs maza nozīme. Mūsu revolūcijām netiks ļauts ritēt savu gaitu. Ko mēs varam darīt? Mēs varam darīt daudz! Mēs varam ienest saprāta balsi pasaules lietās. Mēs varam mobilizēt visu Āzijas un Āfrikas garīgo, visu morālo un visu politisko spēku miera pusē. Jā, mēs! Mēs, Āzijas un Āfrikas tautas, 1,4 miljardi cilvēku.(Indonēzijas līderis Sukarno, galvenā runa Bandungas konferencē, 1955. Gadā). Iepriekš minētais fragments visvairāk saistās ar kuru no tālāk minētajiem notikumiem?;Nepiesaistīšanās kustības izveidošana,;Globālā atbruņošanās un kodolieroču neizplatīšana,;Zaļā revolūcija lauksaimniecībā,;Panāzijas ideoloģijas mobilizācija.;A;A;TRUE
2. Otrais jautājums attiecas uz sekojošo informāciju: Šaujampulvera ieroči: Eiropa pret Ķīnu. Rietumeiropā no 13. gadsimta līdz 15. gadsimtam agrīnie lielgabali, tik smagi un lēni šaujami, cik tie bija, izrādījās pietiekami noderīgi ilgstošajos aplenkumos, kas dominēja karadarbībā šajā periodā, ka valdības uzskatīja par pietiekami vērtīgu maksāt par tiem un eksperimentiem, kuru rezultātā tika radīti gan jaudīgāki, gan vieglāk pārvietojami šaujampulvera ieroči. Turpretī Ķīnu, īpaši pēc 14. gadsimta vidus, galvenokārt apdraudēja ļoti mobilie stepju klejotāji, pret kuriem agrīnie šaujampulvera ieroči to neērtības dēļ izrādījās maz noderīgi. Tāpēc tā veltīja savus centienus zirgu loka šāvēju vienību uzlabošanai, kas varētu efektīvi cīnīties pret valsts nāvējošāko ienaidnieku. Ar kuru no tālāk minētajiem plaša mēroga jautājumiem par globālo vēsturi visciešāk ir saistīts arguments šajā fragmentā?;Kā sabiedrības savā starpā dalījās stratēģiski svarīgās tehnoloģijās?;Kāpēc Eiropas valstis mūsdienās ieguva militāru pārākumu pār ne-rietumu lielvarām?;Kāpēc Zīda ceļa tirdzniecība pēc 1500. gada mūsu ērā samazinājās visā Eirāzijā?;Kā viduslaiku klimatiskais optimums ietekmēja kultūras izplatības procesu?;B;B;TRUE
"3. Trešais jautājums attiecas uz šādu informāciju: Ganas pilsēta sastāv no divām pilsētām. Vienā dzīvo musulmaņi, un tajā ir divpadsmit mošejas, algoti imāmi un muedzini, kā arī juristi un zinātnieki. Apkārtnē ir akas ar saldūdeni, no kura viņi dzer un audzē dārzeņus... Karaļa tulki, viņa kases ierēdnis un lielākā daļa viņa ministru ir musulmaņi. Tikai karaļnama pārstāvji drīkst valkāt šūtas drēbes. Visi pārējie cilvēki valkā kokvilnas, zīda vai brokāta tērpus atkarībā no saviem līdzekļiem... Karalis rotājas kā sieviete, nēsājot kaklarotas ap kaklu un rokassprādzes uz apakšdelmiem."" ...Viņš sēž ...kupolveida paviljonā, ap kuru stāv desmit zirgi. Kad viņam tuvojas cilvēki, kas atzīst to pašu reliģiju kā karalis, viņi krīt ceļos un kaisa putekļus uz galvas, jo tas ir viņu veids, kā viņu sveicina. Kas attiecas uz musulmaņiem, viņi viņu sveicina tikai sasitot plaukstas. [Tautas] reliģija ir pagānisms un elku pielūgšana. ...No katras sāls kravas, kad to ieved valstī, viņu karalis iekasē vienu zelta dināru un divus dinārus, kad to izsūta. No vara kravas karalim pienākas pieci mitkāli, bet no citu preču kravas - desmit mitkāli. ...Visās viņa valsts raktuvēs atrodamie zelta tīrradņi tiek rezervēti karalim, tikai šie zelta putekļi paliek tautai. Ja ne par to tauta krātu zeltu, līdz tas zaudētu savu vērtību. Aiz šīs valsts atrodas cita, ko sauc par Malalu, kuras karalis bija patiesi uzticīgs islāmam, savukārt viņa valstības vienkāršie ļaudis palika politeisti. Kopš tā laika viņu valdniekiem ir piešķirts al-musulmani tituls. (Ceļu un valstību grāmata, autors Abu Ubaydallah al-Bakri, vienpadsmitā gadsimta musulmaņu vēsturnieks un ģeogrāfs). Kādi pierādījumi šajā fragmentā liecina, ka gānieši tieši vai netieši nodarbojās ar tirdzniecību ar Āziju?";Viņi savā galmā turēja zirgus, kas, iespējams, bija cēlušies no mongoļiem.;"Ganas karalis bija pārņēmis ķīniešu tradīciju ""paklauvējiens”.";Karalis rotāja sevi ar zeltu un dārgakmeņiem, iespējams, no Indijas.;Viņa galma ļaudis valkāja zīda tērpus.;D;D;TRUE
